tanggal,waktu,username,full_text,sentimen,cleaning,case_folding,hasil_normalisasi,tokenize,stopword_removal,steming_data
Tue Oct 21,13:55:02,geminifourthz,itu duit tapera sm ppn 12% hrsnya masuk ke kantong nut,Negatif,itu duit tapera sm ppn  hrsnya masuk ke kantong nut,itu duit tapera sm ppn  hrsnya masuk ke kantong nut,itu duit tapera sama ppn harusnya masuk ke kantong nut,"['itu', 'duit', 'tapera', 'sama', 'ppn', 'harusnya', 'masuk', 'ke', 'kantong', 'nut']","['duit', 'tapera', 'ppn', 'masuk', 'kantong', 'nut']",duit tapera ppn masuk kantong nut
Tue Oct 21,13:40:07,trevoria13,Drpd pusing mikirin tapera ppn 12% mending nyiksa diri pake fromsoft game aja Stellar blade bukan fromsoft game tapi kayanya bkl beli jga https://t.co/4uNeyFBd5p,Negatif,Drpd pusing mikirin tapera ppn  mending nyiksa diri pake fromsoft game aja Stellar blade bukan fromsoft game tapi kayanya bkl beli jga,drpd pusing mikirin tapera ppn  mending nyiksa diri pake fromsoft game aja stellar blade bukan fromsoft game tapi kayanya bkl beli jga,daripada pusing memikirkan tapera ppn mending nyiksa diri pakai fromsoft game saja stellar blade bukan fromsoft game tapi kayanya bkl beli juga,"['daripada', 'pusing', 'memikirkan', 'tapera', 'ppn', 'mending', 'nyiksa', 'diri', 'pakai', 'fromsoft', 'game', 'saja', 'stellar', 'blade', 'bukan', 'fromsoft', 'game', 'tapi', 'kayanya', 'bkl', 'beli', 'juga']","['pusing', 'memikirkan', 'tapera', 'ppn', 'mending', 'nyiksa', 'pakai', 'fromsoft', 'game', 'stellar', 'blade', 'fromsoft', 'game', 'kayanya', 'bkl', 'beli']",pusing pikir tapera ppn mending nyiksa pakai fromsoft game stellar blade fromsoft game kaya bkl beli
Tue Oct 21,13:24:27,darmantahu,@vaniepink semoga di awal 2025 ada prahara ekonomi yg dahsyat ! (dampak ppn 12%),Negatif,semoga di awal  ada prahara ekonomi yg dahsyat  dampak ppn,semoga di awal  ada prahara ekonomi yg dahsyat  dampak ppn,semoga di awal ada prahara ekonomi yang dahsyat dampak ppn,"['semoga', 'di', 'awal', 'ada', 'prahara', 'ekonomi', 'yang', 'dahsyat', 'dampak', 'ppn']","['semoga', 'prahara', 'ekonomi', 'dahsyat', 'dampak', 'ppn']",moga prahara ekonomi dahsyat dampak ppn
Tue Oct 21,12:54:17,officialinews_,@hnirankara Kemenkeu Jamin PPN 12 Persen Berlaku 1 Januari 2025 https://t.co/pmvqdItndO,Positif,Kemenkeu Jamin PPN  Persen Berlaku  Januari,kemenkeu jamin ppn  persen berlaku  januari,kemenkeu jamin ppn persen berlaku januari,"['kemenkeu', 'jamin', 'ppn', 'persen', 'berlaku', 'januari']","['kemenkeu', 'jamin', 'ppn', 'persen', 'berlaku', 'januari']",kemenkeu jamin ppn persen laku januari
Tue Oct 21,12:46:46,UmatAkhirZama15,@KwetiawJozz @opposite6892 Baiklah. Kalo gitu lo tahun depan kena Ppn 12% iuran wajib tapera bensin pertalite dihapus jangan nangis lo yah,Negatif,Baiklah Kalo gitu lo tahun depan kena Ppn  iuran wajib tapera bensin pertalite dihapus jangan nangis lo yah,baiklah kalo gitu lo tahun depan kena ppn  iuran wajib tapera bensin pertalite dihapus jangan nangis lo yah,baiklah kalau begitu lo tahun-tahun depan kena ppn iuran wajib tapera bensin pertalite dihapus jangan-jangan menangis-nangis lo ya,"['baiklah', 'kalau', 'begitu', 'lo', 'tahun-tahun', 'depan', 'kena', 'ppn', 'iuran', 'wajib', 'tapera', 'bensin', 'pertalite', 'dihapus', 'jangan-jangan', 'menangis-nangis', 'lo', 'ya']","['baiklah', 'lo', 'tahun-tahun', 'kena', 'ppn', 'iuran', 'wajib', 'tapera', 'bensin', 'pertalite', 'dihapus', 'jangan-jangan', 'menangis-nangis', 'lo', 'ya']",baik lo tahun kena ppn iur wajib tapera bensin pertalite hapus jangan menangis-nangis lo ya
Tue Oct 21,12:37:35,RichHealthyFun,Yank @prabowo batalin dong kenaikan PPn jadi 12%. Kape tuku2 malah larang kabeh yo opo ekonomi kape muter,Negatif,Yank  batalin dong kenaikan PPn jadi  Kape tuku malah larang kabeh yo opo ekonomi kape muter,yank  batalin dong kenaikan ppn jadi  kape tuku malah larang kabeh yo opo ekonomi kape muter,sayang batalin dong kenaikan ppn jadi kape tuku malah larang kabeh ya opo ekonomi kape muter,"['sayang', 'batalin', 'dong', 'kenaikan', 'ppn', 'jadi', 'kape', 'tuku', 'malah', 'larang', 'kabeh', 'ya', 'opo', 'ekonomi', 'kape', 'muter']","['sayang', 'batalin', 'kenaikan', 'ppn', 'kape', 'tuku', 'larang', 'kabeh', 'ya', 'opo', 'ekonomi', 'kape', 'muter']",sayang batalin naik ppn kape tuku larang kabeh ya opo ekonomi kape muter
Tue Oct 21,12:06:28,conquerme,@om_AL1802 Airlangga semoga udah kesel bgt gegara PPN 12%,Negatif,Airlangga semoga udah kesel bgt gegara PPN,airlangga semoga udah kesel bgt gegara ppn,airlangga semoga sudah kesel banget gegara ppn,"['airlangga', 'semoga', 'sudah', 'kesel', 'banget', 'gegara', 'ppn']","['airlangga', 'semoga', 'kesel', 'banget', 'gegara', 'ppn']",airlangga moga kesel banget gegara ppn
Tue Oct 21,11:35:28,MaidaManda66587,@NenkMonica alamat pajak.naik udah ada pph naik ppn 12% tapera bangun rumah sendiri kena pajak dsb..,Negatif,alamat pajaknaik udah ada pph naik ppn  tapera bangun rumah sendiri kena pajak dsb,alamat pajaknaik udah ada pph naik ppn  tapera bangun rumah sendiri kena pajak dsb,alamat pajaknaik sudah ada pph naik ppn tapera bangun rumah sendiri kena pajak dsb,"['alamat', 'pajaknaik', 'sudah', 'ada', 'pph', 'naik', 'ppn', 'tapera', 'bangun', 'rumah', 'sendiri', 'kena', 'pajak', 'dsb']","['alamat', 'pajaknaik', 'pph', 'ppn', 'tapera', 'bangun', 'rumah', 'kena', 'pajak', 'dsb']",alamat pajaknaik pph ppn tapera bangun rumah kena pajak dsb
Tue Oct 21,11:34:50,meanie_cherry14,Inget tahun depan klo emg gk jadi diubah peraturannya PPN naik lagi jadi 12% naiknya cuma 1% tapi gak senilai 1% aslinya naiknya untuk efek di kehidupan kita tuh hampir 9% gila kan ? Emg! Semoga temen2ku sehat trs rezekinya lancar dan ngalir trs ya,Negatif,Inget tahun depan klo emg gk jadi diubah peraturannya PPN naik lagi jadi  naiknya cuma  tapi gak senilai  aslinya naiknya untuk efek di kehidupan kita tuh hampir  gila kan  Emg Semoga temenku sehat trs rezekinya lancar dan ngalir trs ya,inget tahun depan klo emg gk jadi diubah peraturannya ppn naik lagi jadi  naiknya cuma  tapi gak senilai  aslinya naiknya untuk efek di kehidupan kita tuh hampir  gila kan  emg semoga temenku sehat trs rezekinya lancar dan ngalir trs ya,ingat tahun-tahun depan kalau memang tidak jadi diubah peraturannya ppn naik lagi jadi naiknya cuma tapi tidak senilai aslinya naiknya untuk efek di kehidupan kita tuh hampir gila kan memang semoga temenku sehat terus rezekinya lancar dan mengalir terus ya,"['ingat', 'tahun-tahun', 'depan', 'kalau', 'memang', 'tidak', 'jadi', 'diubah', 'peraturannya', 'ppn', 'naik', 'lagi', 'jadi', 'naiknya', 'cuma', 'tapi', 'tidak', 'senilai', 'aslinya', 'naiknya', 'untuk', 'efek', 'di', 'kehidupan', 'kita', 'tuh', 'hampir', 'gila', 'kan', 'memang', 'semoga', 'temenku', 'sehat', 'terus', 'rezekinya', 'lancar', 'dan', 'mengalir', 'terus', 'ya']","['tahun-tahun', 'diubah', 'peraturannya', 'ppn', 'naiknya', 'senilai', 'aslinya', 'naiknya', 'efek', 'kehidupan', 'tuh', 'gila', 'semoga', 'temenku', 'sehat', 'rezekinya', 'lancar', 'mengalir', 'ya']",tahun ubah atur ppn naik nila asli naik efek hidup tuh gila moga temenku sehat rezeki lancar alir ya
Tue Oct 21,11:18:28,skieschwe,Monyet emg ppn naik 12% anjg anjg,Negatif,Monyet emg ppn naik  anjg anjg,monyet emg ppn naik  anjg anjg,monyet memang ppn naik anjg anjg,"['monyet', 'memang', 'ppn', 'naik', 'anjg', 'anjg']","['monyet', 'ppn', 'anjg', 'anjg']",monyet ppn anjg anjg
Tue Oct 21,11:05:44,fulltimeoor,yah equal lah sama org dewasa yg nanggung ppn 12 persen sama tapera,Negatif,yah equal lah sama org dewasa yg nanggung ppn  persen sama tapera,yah equal lah sama org dewasa yg nanggung ppn  persen sama tapera,ya equal lah sama-sama orang dewasa yang nanggung ppn persen sama-sama tapera,"['ya', 'equal', 'lah', 'sama-sama', 'orang', 'dewasa', 'yang', 'nanggung', 'ppn', 'persen', 'sama-sama', 'tapera']","['ya', 'equal', 'orang', 'dewasa', 'nanggung', 'ppn', 'persen', 'tapera']",ya equal orang dewasa nanggung ppn persen tapera
Tue Oct 21,9:50:18,eepyday,@putanginanjing bro bayangin makan 1 gacoan yg seharusnya cuma 10k tp ada ppn 12%,Negatif,bro bayangin makan  gacoan yg seharusnya cuma k tp ada ppn,bro bayangin makan  gacoan yg seharusnya cuma k tp ada ppn,bro bayangkan makan gacoan yang seharusnya cuma kak tapi ada ppn,"['bro', 'bayangkan', 'makan', 'gacoan', 'yang', 'seharusnya', 'cuma', 'kak', 'tapi', 'ada', 'ppn']","['bro', 'bayangkan', 'makan', 'gacoan', 'kak', 'ppn']",bro bayang makan gaco kak ppn
Tue Oct 21,9:44:41,cheongryn,gws tahun depan ppn 12%,Negatif,gws tahun depan ppn,gws tahun depan ppn,gws tahun-tahun depan ppn,"['gws', 'tahun-tahun', 'depan', 'ppn']","['gws', 'tahun-tahun', 'ppn']",gws tahun ppn
Tue Oct 21,9:19:18,kopitem3,@hasyimmah Hahaha....yg slama ini upahnye jauh diatas umr dibantu apbn rakyatnye dibebanin tapera bpjs nti ppn 12%....wakanda forever! https://t.co/BHrCQ5aDSB,Negatif,Hahahayg slama ini upahnye jauh diatas umr dibantu apbn rakyatnye dibebanin tapera bpjs nti ppn wakanda forever,hahahayg slama ini upahnye jauh diatas umr dibantu apbn rakyatnye dibebanin tapera bpjs nti ppn wakanda forever,hahahayg selama ini upahnye jauh diatas umr dibantu apbn rakyatnye dibebanin tapera bpjs nanti ppn wakanda forever,"['hahahayg', 'selama', 'ini', 'upahnye', 'jauh', 'diatas', 'umr', 'dibantu', 'apbn', 'rakyatnye', 'dibebanin', 'tapera', 'bpjs', 'nanti', 'ppn', 'wakanda', 'forever']","['hahahayg', 'upahnye', 'diatas', 'umr', 'dibantu', 'apbn', 'rakyatnye', 'dibebanin', 'tapera', 'bpjs', 'ppn', 'wakanda', 'forever']",hahahayg upahnye atas umr bantu apbn rakyatnye dibebanin tapera bpjs ppn wakanda forever
Tue Oct 21,9:15:08,kopitem3,@tempodotco Tapera BPJS PPN 12% Lu mau jaga apa?? Malah yg upahnye jauh diatas umr dapet dari apbn! https://t.co/EQrj9NyuI7,Negatif,Tapera BPJS PPN  Lu mau jaga apa Malah yg upahnye jauh diatas umr dapet dari apbn,tapera bpjs ppn  lu mau jaga apa malah yg upahnye jauh diatas umr dapet dari apbn,tapera bpjs ppn kamu mau jaga apa-apa malah yang upahnye jauh diatas umr dapat dari apbn,"['tapera', 'bpjs', 'ppn', 'kamu', 'mau', 'jaga', 'apa-apa', 'malah', 'yang', 'upahnye', 'jauh', 'diatas', 'umr', 'dapat', 'dari', 'apbn']","['tapera', 'bpjs', 'ppn', 'jaga', 'apa-apa', 'upahnye', 'diatas', 'umr', 'apbn']",tapera bpjs ppn jaga apa upahnye atas umr apbn
Tue Oct 21,9:00:00,pajakcom,Wakil Ketua MPR Minta Presiden Prabowo Tunda Kenaikan PPN 12% di 2025 https://t.co/b7incEoYbp,Negatif,Wakil Ketua MPR Minta Presiden Prabowo Tunda Kenaikan PPN  di,wakil ketua mpr minta presiden prabowo tunda kenaikan ppn  di,wakil ketua mpr meminta presiden prabowo tunda kenaikan ppn di,"['wakil', 'ketua', 'mpr', 'meminta', 'presiden', 'prabowo', 'tunda', 'kenaikan', 'ppn', 'di']","['wakil', 'ketua', 'mpr', 'presiden', 'prabowo', 'tunda', 'kenaikan', 'ppn']",wakil ketua mpr presiden prabowo tunda naik ppn
Tue Oct 21,8:38:57,roses_man,2.5bulan menuju PPN 12%.. Warisan berharga jkw Dan dijaga srimul,Negatif,bulan menuju PPN  Warisan berharga jkw Dan dijaga srimul,bulan menuju ppn  warisan berharga jkw dan dijaga srimul,bulan menuju ppn warisan berharga jkw dan dijaga srimul,"['bulan', 'menuju', 'ppn', 'warisan', 'berharga', 'jkw', 'dan', 'dijaga', 'srimul']","['ppn', 'warisan', 'berharga', 'jkw', 'dijaga', 'srimul']",ppn waris harga jkw jaga srimul
Tue Oct 21,8:37:46,Leo_sanny,@andrariez @ardisatriawan template buzzer banget giliran negara ngemis² ppn naik 12% lu kemana aja tong?,Negatif,template buzzer banget giliran negara ngemis ppn naik  lu kemana aja tong,template buzzer banget giliran negara ngemis ppn naik  lu kemana aja tong,template buzzer banget giliran negara ngemis ppn naik kamu kemana saja tong,"['template', 'buzzer', 'banget', 'giliran', 'negara', 'ngemis', 'ppn', 'naik', 'kamu', 'kemana', 'saja', 'tong']","['template', 'buzzer', 'banget', 'giliran', 'negara', 'ngemis', 'ppn', 'kemana', 'tong']",template buzzer banget gilir negara ngemis ppn mana tong
Tue Oct 21,8:36:17,ajotegie,@iwanfals Pembuktiannya cuma satu batalkan ppn 12% ...,Negatif,Pembuktiannya cuma satu batalkan ppn,pembuktiannya cuma satu batalkan ppn,pembuktiannya cuma satu batalkan ppn,"['pembuktiannya', 'cuma', 'satu', 'batalkan', 'ppn']","['pembuktiannya', 'batalkan', 'ppn']",bukti batal ppn
Tue Oct 21,8:01:08,moeniccca,@sorceressmyr PPN 12% dan Tapera 2.5% oke gas oke gas,Negatif,PPN  dan Tapera  oke gas oke gas,ppn  dan tapera  oke gas oke gas,ppn dan tapera oke gas oke gas,"['ppn', 'dan', 'tapera', 'oke', 'gas', 'oke', 'gas']","['ppn', 'tapera', 'oke', 'gas', 'oke', 'gas']",ppn tapera oke gas oke gas
Tue Oct 21,7:56:27,kring_pajak,@bella_karima PKP Rekanan Pemerintah kepada Instansi Pemerintah. Oleh karena itu apabila Rekanan Pemerintah yang melakukan penyerahan BKP/JKP kepada Instansi Pemerintah adalah Non PKP maka tidak ada pengenaan PPN ya Kak. Dan sesuai pasal 12 ayat (2) huruf,Positif,PKP Rekanan Pemerintah kepada Instansi Pemerintah Oleh karena itu apabila Rekanan Pemerintah yang melakukan penyerahan BKPJKP kepada Instansi Pemerintah adalah Non PKP maka tidak ada pengenaan PPN ya Kak Dan sesuai pasal  ayat  huruf,pkp rekanan pemerintah kepada instansi pemerintah oleh karena itu apabila rekanan pemerintah yang melakukan penyerahan bkpjkp kepada instansi pemerintah adalah non pkp maka tidak ada pengenaan ppn ya kak dan sesuai pasal  ayat  huruf,pkp rekanan pemerintah kepada instansi pemerintah oleh karena itu apabila rekanan pemerintah yang melakukan penyerahan bkpjkp kepada instansi pemerintah adalah non pkp maka tidak ada pengenaan ppn ya kak dan sesuai pasal ayat huruf,"['pkp', 'rekanan', 'pemerintah', 'kepada', 'instansi', 'pemerintah', 'oleh', 'karena', 'itu', 'apabila', 'rekanan', 'pemerintah', 'yang', 'melakukan', 'penyerahan', 'bkpjkp', 'kepada', 'instansi', 'pemerintah', 'adalah', 'non', 'pkp', 'maka', 'tidak', 'ada', 'pengenaan', 'ppn', 'ya', 'kak', 'dan', 'sesuai', 'pasal', 'ayat', 'huruf']","['pkp', 'rekanan', 'pemerintah', 'instansi', 'pemerintah', 'rekanan', 'pemerintah', 'penyerahan', 'bkpjkp', 'instansi', 'pemerintah', 'non', 'pkp', 'pengenaan', 'ppn', 'ya', 'kak', 'sesuai', 'pasal', 'ayat', 'huruf']",pkp rekan perintah instansi perintah rekan perintah serah bkpjkp instansi perintah non pkp kena ppn ya kak sesuai pasal ayat huruf
Tue Oct 21,7:29:09,CokiePramuka,@ridwanhr ga akan naik daya beli masyarakat jika beli pertalite dibatasi jika PPn naik jd 12% jika Tapera 3% dijalankan itu namanya narik duit dari masyarakat makin keringlah duit masyarakat disedot negara harusnya duit digelontorkan ke masyarakat dengan,Negatif,ga akan naik daya beli masyarakat jika beli pertalite dibatasi jika PPn naik jd  jika Tapera  dijalankan itu namanya narik duit dari masyarakat makin keringlah duit masyarakat disedot negara harusnya duit digelontorkan ke masyarakat dengan,ga akan naik daya beli masyarakat jika beli pertalite dibatasi jika ppn naik jd  jika tapera  dijalankan itu namanya narik duit dari masyarakat makin keringlah duit masyarakat disedot negara harusnya duit digelontorkan ke masyarakat dengan,tidak akan naik daya beli masyarakat jika beli pertalite dibatasi jika ppn naik jadi jika tapera dijalankan itu namanya menarik duit dari masyarakat makin keringlah duit masyarakat disedot negara harusnya duit digelontorkan ke masyarakat dengan,"['tidak', 'akan', 'naik', 'daya', 'beli', 'masyarakat', 'jika', 'beli', 'pertalite', 'dibatasi', 'jika', 'ppn', 'naik', 'jadi', 'jika', 'tapera', 'dijalankan', 'itu', 'namanya', 'menarik', 'duit', 'dari', 'masyarakat', 'makin', 'keringlah', 'duit', 'masyarakat', 'disedot', 'negara', 'harusnya', 'duit', 'digelontorkan', 'ke', 'masyarakat', 'dengan']","['daya', 'beli', 'masyarakat', 'beli', 'pertalite', 'dibatasi', 'ppn', 'tapera', 'dijalankan', 'namanya', 'menarik', 'duit', 'masyarakat', 'keringlah', 'duit', 'masyarakat', 'disedot', 'negara', 'duit', 'digelontorkan', 'masyarakat']",daya beli masyarakat beli pertalite batas ppn tapera jalan nama tarik duit masyarakat kering duit masyarakat sedot negara duit gelontor masyarakat
Tue Oct 21,7:05:01,kopitem3,@Quvvatt Emang pantas dihina....masa orang yg upahnya jauh diatas umr malah pakai apbn sedangkan rakyatnya malah dibebanin tapera bpjs dan kenaikan ppn 12%?? https://t.co/TKariIdj8N,Negatif,Emang pantas dihinamasa orang yg upahnya jauh diatas umr malah pakai apbn sedangkan rakyatnya malah dibebanin tapera bpjs dan kenaikan ppn,emang pantas dihinamasa orang yg upahnya jauh diatas umr malah pakai apbn sedangkan rakyatnya malah dibebanin tapera bpjs dan kenaikan ppn,memang pantas dihinamasa orang-orang yang upahnya jauh diatas umr malah pakai apbn sedangkan rakyatnya malah dibebanin tapera bpjs dan kenaikan ppn,"['memang', 'pantas', 'dihinamasa', 'orang-orang', 'yang', 'upahnya', 'jauh', 'diatas', 'umr', 'malah', 'pakai', 'apbn', 'sedangkan', 'rakyatnya', 'malah', 'dibebanin', 'tapera', 'bpjs', 'dan', 'kenaikan', 'ppn']","['dihinamasa', 'orang-orang', 'upahnya', 'diatas', 'umr', 'pakai', 'apbn', 'rakyatnya', 'dibebanin', 'tapera', 'bpjs', 'kenaikan', 'ppn']",dihinamasa orang upah atas umr pakai apbn rakyat dibebanin tapera bpjs naik ppn
Tue Oct 21,6:39:28,kring_pajak,@Yosheko888 Sementara terkati dengan aturan PPN yg mulai berlaku paling lambat pada tanggal 1 Januari 2025 sesuai UU No 8 tahun 1983 stdtd UU no 7 tahun 2021 Pasal 7 ayat (1) adalah tarif PPN 12%. (2/2) Tks*Fyah,Positif,Sementara terkati dengan aturan PPN yg mulai berlaku paling lambat pada tanggal  Januari  sesuai UU No  tahun  stdtd UU no  tahun  Pasal  ayat  adalah tarif PPN   TksFyah,sementara terkati dengan aturan ppn yg mulai berlaku paling lambat pada tanggal  januari  sesuai uu no  tahun  stdtd uu no  tahun  pasal  ayat  adalah tarif ppn   tksfyah,sementara terkati dengan aturan ppn yang mulai berlaku paling lambat pada tanggal januari sesuai uu no tahun-tahun stdtd uu no tahun-tahun pasal ayat adalah tarif ppn tksfyah,"['sementara', 'terkati', 'dengan', 'aturan', 'ppn', 'yang', 'mulai', 'berlaku', 'paling', 'lambat', 'pada', 'tanggal', 'januari', 'sesuai', 'uu', 'no', 'tahun-tahun', 'stdtd', 'uu', 'no', 'tahun-tahun', 'pasal', 'ayat', 'adalah', 'tarif', 'ppn', 'tksfyah']","['terkati', 'aturan', 'ppn', 'berlaku', 'lambat', 'tanggal', 'januari', 'sesuai', 'uu', 'no', 'tahun-tahun', 'stdtd', 'uu', 'no', 'tahun-tahun', 'pasal', 'ayat', 'tarif', 'ppn', 'tksfyah']",kati atur ppn laku lambat tanggal januari sesuai uu no tahun stdtd uu no tahun pasal ayat tarif ppn tksfyah
Tue Oct 21,6:32:36,si_oy3n_2024,@unmagnetism Sabar. PPN 12% masih 11 hari 2 bulan lagi :))),Positif,Sabar PPN  masih  hari  bulan lagi,sabar ppn  masih  hari  bulan lagi,sabar ppn masih hari bulan lagi,"['sabar', 'ppn', 'masih', 'hari', 'bulan', 'lagi']","['sabar', 'ppn']",sabar ppn
Tue Oct 21,6:27:34,Fortune_IDN,Ini Aturan Barang Terdampak Kenaikan PPN 12 Persen per 1 Januari 2025 https://t.co/sABKJh6KEO,Positif,Ini Aturan Barang Terdampak Kenaikan PPN  Persen per  Januari,ini aturan barang terdampak kenaikan ppn  persen per  januari,ini aturan barang terdampak kenaikan ppn persen per januari,"['ini', 'aturan', 'barang', 'terdampak', 'kenaikan', 'ppn', 'persen', 'per', 'januari']","['aturan', 'barang', 'terdampak', 'kenaikan', 'ppn', 'persen', 'januari']",atur barang dampak naik ppn persen januari
Tue Oct 21,5:46:22,rudolphvnstrohm,Kok bisa dah si Fidi dengan akal yang sehat nyepong pemerintah segitunya wkkwwk Kekeuh milih 3x krn penasaran katanya Padahal hidupnya gitu2 aja tp harus bikin kaya yg udh kaya dengan nambah bayar tapera dan ppn kalo dia beli apapun jd 12% wkwkkwkw,Negatif,Kok bisa dah si Fidi dengan akal yang sehat nyepong pemerintah segitunya wkkwwk Kekeuh milih x krn penasaran katanya Padahal hidupnya gitu aja tp harus bikin kaya yg udh kaya dengan nambah bayar tapera dan ppn kalo dia beli apapun jd  wkwkkwkw,kok bisa dah si fidi dengan akal yang sehat nyepong pemerintah segitunya wkkwwk kekeuh milih x krn penasaran katanya padahal hidupnya gitu aja tp harus bikin kaya yg udh kaya dengan nambah bayar tapera dan ppn kalo dia beli apapun jd  wkwkkwkw,kok bisa sudah sih fidi dengan akal yang sehat nyepong pemerintah sebegitunya wkkwwk kekeuh memilih kali karena penasaran katanya padahal hidupnya begitu saja tapi harus bikin kayak yang sudah kayak dengan menambah bayar tapera dan ppn kalau dia beli apapun jadi wkwkkwkw,"['kok', 'bisa', 'sudah', 'sih', 'fidi', 'dengan', 'akal', 'yang', 'sehat', 'nyepong', 'pemerintah', 'sebegitunya', 'wkkwwk', 'kekeuh', 'memilih', 'kali', 'karena', 'penasaran', 'katanya', 'padahal', 'hidupnya', 'begitu', 'saja', 'tapi', 'harus', 'bikin', 'kayak', 'yang', 'sudah', 'kayak', 'dengan', 'menambah', 'bayar', 'tapera', 'dan', 'ppn', 'kalau', 'dia', 'beli', 'apapun', 'jadi', 'wkwkkwkw']","['sih', 'fidi', 'akal', 'sehat', 'nyepong', 'pemerintah', 'sebegitunya', 'wkkwwk', 'kekeuh', 'memilih', 'kali', 'penasaran', 'hidupnya', 'bikin', 'kayak', 'kayak', 'menambah', 'bayar', 'tapera', 'ppn', 'beli', 'apapun', 'wkwkkwkw']",sih fidi akal sehat nyepong perintah begitu wkkwwk kekeuh pilih kali penasaran hidup bikin kayak kayak tambah bayar tapera ppn beli apa wkwkkwkw
Tue Oct 21,5:10:13,sarjanashopeee,@kacang_godhog Hadeh nek iling januari PPN 12% mung pingin ngucap kuontolll,Negatif,Hadeh nek iling januari PPN  mung pingin ngucap kuontolll,hadeh nek iling januari ppn  mung pingin ngucap kuontolll,hadeh nek iling januari ppn mung pengin ngucap kuontolll,"['hadeh', 'nek', 'iling', 'januari', 'ppn', 'mung', 'pengin', 'ngucap', 'kuontolll']","['hadeh', 'nek', 'iling', 'januari', 'ppn', 'mung', 'pengin', 'ngucap', 'kuontolll']",hadeh nek iling januari ppn mung pengin ngucap kuontolll
Tue Oct 21,4:25:54,cozyzone666,@inilahdotcom @jokowi Bpk PPN 12%,Negatif,Bpk PPN,bpk ppn,bpk ppn,"['bpk', 'ppn']","['bpk', 'ppn']",bpk ppn
Tue Oct 21,4:25:25,cozyzone666,@AKamjaya @inilahdotcom @jokowi Bpk PPN 12%,Negatif,Bpk PPN,bpk ppn,bpk ppn,"['bpk', 'ppn']","['bpk', 'ppn']",bpk ppn
Tue Oct 21,4:23:17,Jentjaka,PPN 12% Tapera kenaikan ukt kuliah hutan gundul harga naik pendapatan tetap semua itu hasil dari apatis terhadap politik,Negatif,PPN  Tapera kenaikan ukt kuliah hutan gundul harga naik pendapatan tetap semua itu hasil dari apatis terhadap politik,ppn  tapera kenaikan ukt kuliah hutan gundul harga naik pendapatan tetap semua itu hasil dari apatis terhadap politik,ppn tapera kenaikan ukt kuliah hutan gundul harga naik pendapatan tetap semua itu hasil dari apatis terhadap politik,"['ppn', 'tapera', 'kenaikan', 'ukt', 'kuliah', 'hutan', 'gundul', 'harga', 'naik', 'pendapatan', 'tetap', 'semua', 'itu', 'hasil', 'dari', 'apatis', 'terhadap', 'politik']","['ppn', 'tapera', 'kenaikan', 'ukt', 'kuliah', 'hutan', 'gundul', 'harga', 'pendapatan', 'hasil', 'apatis', 'politik']",ppn tapera naik ukt kuliah hutan gundul harga dapat hasil apatis politik
Tue Oct 21,4:15:57,Aryanis17917,@txtdrjkt Min tolong rekap pungutan (pajak iuran dll) apa sj yg akan ada di thn dpn? Tapera ppn 12% apa lagi?,Negatif,Min tolong rekap pungutan pajak iuran dll apa sj yg akan ada di thn dpn Tapera ppn  apa lagi,min tolong rekap pungutan pajak iuran dll apa sj yg akan ada di thn dpn tapera ppn  apa lagi,min tolong rekap pungutan pajak iuran dll apa-apa saja yang akan ada di tahun depan tapera ppn apa-apa lagi,"['min', 'tolong', 'rekap', 'pungutan', 'pajak', 'iuran', 'dll', 'apa-apa', 'saja', 'yang', 'akan', 'ada', 'di', 'tahun', 'depan', 'tapera', 'ppn', 'apa-apa', 'lagi']","['min', 'tolong', 'rekap', 'pungutan', 'pajak', 'iuran', 'dll', 'apa-apa', 'tapera', 'ppn', 'apa-apa']",min tolong rekap pungut pajak iur dll apa tapera ppn apa
Tue Oct 21,4:07:41,nusabalicom,Pemerintahan Presiden Prabowo Subianto diminta untuk mengkaji wancana kenaikan Pajak Pertambahan Nilai (PPN) menjadi 12%. https://t.co/91IPnT4Au7,Negatif,Pemerintahan Presiden Prabowo Subianto diminta untuk mengkaji wancana kenaikan Pajak Pertambahan Nilai PPN menjadi,pemerintahan presiden prabowo subianto diminta untuk mengkaji wancana kenaikan pajak pertambahan nilai ppn menjadi,pemerintahan presiden prabowo subianto diminta untuk mengkaji wancana kenaikan pajak pertambahan nilai ppn menjadi,"['pemerintahan', 'presiden', 'prabowo', 'subianto', 'diminta', 'untuk', 'mengkaji', 'wancana', 'kenaikan', 'pajak', 'pertambahan', 'nilai', 'ppn', 'menjadi']","['pemerintahan', 'presiden', 'prabowo', 'subianto', 'mengkaji', 'wancana', 'kenaikan', 'pajak', 'pertambahan', 'nilai', 'ppn']",perintah presiden prabowo subianto kaji wancana naik pajak tambah nilai ppn
